ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;504475966;2;3;0;0;0;1;1
0;0;921813015;4;2;1;0;0;0;1
0;0;946445014;8;3;0;0;0;0;4
0;0;552423938;4;1;0;0;1;0;3
0;0;112947283;4;2;0;0;0;0;1
0;0;779437484;2;1;0;0;0;0;3
0;0;321855912;5;1;0;0;0;0;2
0;0;592034845;1;3;0;0;0;0;1
0;0;843272305;1;3;0;0;0;0;2
0;0;248294353;6;2;0;0;0;0;1
0;0;263346508;3;3;0;0;1;1;3
0;0;234232710;1;1;0;0;0;0;1
0;0;301990350;1;2;1;0;1;1;3
0;0;461640203;2;1;0;0;0;0;1
0;0;821768963;2;2;0;0;1;0;1
0;0;52061008;8;1;0;0;0;0;3
0;0;835072630;2;2;0;0;1;0;1
0;0;504174412;9;1;0;0;0;0;1
0;0;870221170;10;2;0;0;0;0;5
1;0;612917980;4;2;0;0;0;0;1
0;0;322633954;1;2;0;0;0;0;1
0;0;655824813;1;1;0;0;0;0;1
0;0;467562690;2;2;0;0;0;0;2
1;0;745095345;6;2;0;0;1;0;1
0;0;208275787;7;3;0;0;0;0;1
0;0;771513326;5;3;0;0;0;1;1
0;0;677532191;2;1;0;0;1;0;1
0;0;293201934;1;1;0;0;1;0;1
0;0;369594524;5;3;0;0;0;0;7
0;0;880176999;5;2;0;0;0;0;1
0;0;772877623;1;1;0;0;0;0;1
0;0;208228537;9;1;0;0;0;0;1
0;0;435007438;1;3;0;0;0;0;3
0;0;74130202;3;1;0;0;0;0;1
0;0;622863104;5;1;0;0;0;0;1
0;0;275285778;11;1;0;0;0;0;1
0;0;132822279;12;3;0;0;0;0;1
0;0;656201941;3;2;0;0;0;0;1
0;0;376938060;3;1;0;0;0;0;1
0;0;945486988;7;2;0;0;0;0;1
0;0;491152402;8;1;0;0;0;0;1
0;0;541285667;4;1;0;0;1;0;1
0;0;96864479;2;1;0;0;0;0;1
0;0;260075473;4;1;0;0;0;0;1
0;0;431774744;5;3;0;0;0;0;1
0;0;380961958;2;1;0;0;0;0;1
0;0;812892557;7;3;0;0;0;0;1
0;0;958448113;6;3;1;0;0;0;2
0;0;665197238;10;1;0;0;0;0;1
0;0;465480891;2;1;0;0;0;0;2
0;0;507487678;2;2;0;0;0;0;1
0;0;600686349;6;1;0;0;0;0;1
0;0;977709548;8;1;0;0;0;0;1
0;0;505841021;1;3;0;0;0;0;1
0;0;576369865;4;2;0;1;0;0;2
0;0;904700860;1;1;0;0;0;0;1
0;0;947880890;6;1;0;0;0;0;1
0;0;905767982;4;2;1;0;0;0;1
0;0;523878707;4;1;0;0;0;0;1
1;0;7649656;2;1;0;1;1;0;3
0;0;586174458;1;1;0;0;0;0;1
0;0;979003993;3;1;0;0;0;0;1
0;0;570138531;3;2;0;0;0;0;1
1;0;646254543;2;1;1;0;0;0;2
0;0;490158026;2;1;1;0;0;0;1
0;0;402931445;7;2;0;0;0;0;1
0;0;567408275;8;2;0;0;0;0;1
1;0;918638875;3;1;0;0;0;0;1
0;0;694931488;2;1;0;1;0;0;2
0;0;838001592;1;1;1;0;0;1;1
0;0;536193066;7;3;0;0;0;0;1
